"Delovno aktivni po glavnih poklicnih skupinah, spolu in kohezijskih regijah, Slovenija, letno"

"KOHEZIJSKA REGIJA";"SPOL";"POKLICNE SKUPINE";"2008 Število (v 1000)";"2009 Število (v 1000)";"2010 Število (v 1000)";"2011 Število (v 1000)";"2012 Število (v 1000)";"2013 Število (v 1000)";"2014 Število (v 1000)";"2015 Število (v 1000)";"2016 Število (v 1000)";"2017 Število (v 1000)";"2018 Število (v 1000)";"2019 Število (v 1000)"
"SLOVENIJA";"Moški";"Zakonodajalci, visoki uradniki, menedžerji";45;50;56;48;45;45;47;45;41;42;44;42
"SLOVENIJA";"Moški";"Strokovnjaki";61;62;62;70;72;78;78;82;76;81;89;93
"SLOVENIJA";"Moški";"Tehniki in drugi strokovni sodelavci";79;79;75;64;63;60;59;55;62;70;66;68
"SLOVENIJA";"Moški";"Uradniki";33;31;30;29;30;29;27;31;29;30;33;36
"SLOVENIJA";"Moški";"Poklici za storitve, prodajalci";43;43;45;46;46;45;45;48;46;47;49;47
"SLOVENIJA";"Moški";"Kmetovalci, gozdarji, ribièi";33;33;32;32;31;29;33;24;20;22;24;21
"SLOVENIJA";"Moški";"Poklici za neindustrijski naèin dela";103;96;94;115;111;106;110;113;118;117;118;124
"SLOVENIJA";"Moški";"Upravljalci strojev in naprav, industrijski izdelovalci in sestavljalci";103;94;87;64;63;62;58;60;64;71;71;70
"SLOVENIJA";"Moški";"Poklici  za preprosta dela";33;32;33;31;32;31;30;28;23;26;26;21
"SLOVENIJA";"Moški";"Vojaški poklici";5;5;4;5;5;4;4;4;4;4;4;4
"SLOVENIJA";"Moški";"Neznano";4;6;5;3;3;5;7;10;8;5;6;6
"SLOVENIJA";"Ženske";"Zakonodajalci, visoki uradniki, menedžerji";24;28;30;30;28;26;28;27;28;30;28;28
"SLOVENIJA";"Ženske";"Strokovnjaki";92;93;93;112;114;117;112;119;125;130;129;135
"SLOVENIJA";"Ženske";"Tehniki in drugi strokovni sodelavci";83;82;79;67;61;56;57;54;55;59;62;58
"SLOVENIJA";"Ženske";"Uradniki";58;55;51;41;43;37;37;39;39;40;42;46
"SLOVENIJA";"Ženske";"Poklici za storitve, prodajalci";73;74;77;76;74;74;75;78;84;82;82;85
"SLOVENIJA";"Ženske";"Kmetovalci, gozdarji, ribièi";24;24;20;17;19;18;19;14;9;9;11;9
"SLOVENIJA";"Ženske";"Poklici za neindustrijski naèin dela";10;8;8;13;13;12;15;14;15;17;18;18
"SLOVENIJA";"Ženske";"Upravljalci strojev in naprav, industrijski izdelovalci in sestavljalci";39;37;36;24;24;25;22;24;25;26;29;30
"SLOVENIJA";"Ženske";"Poklici  za preprosta dela";45;46;46;47;46;42;47;42;39;46;45;37
"SLOVENIJA";"Ženske";"Vojaški poklici";N;1;1;1;N;N;1;1;N;1;1;1
"SLOVENIJA";"Ženske";"Neznano";3;3;2;2;2;3;4;5;4;4;4;4
