"Delovno aktivno prebivalstvo po kohezijskih in statistiènih regijah prebivališèa in spolu, Slovenija, letno"

"KOHEZIJSKA / STATISTIÈNA REGIJA";"SPOL";"2005 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2006 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2007 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2008 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2009 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2010 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2011 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2012 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2013 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2014 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2015 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2016 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2017 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2018 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2019 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ"
"Pomurska";"Spol - SKUPAJ";45768;46361;47834;48471;46141;43482;43945;41877;40783;40283;39600;39523;40573;41468;41895
"Podravska";"Spol - SKUPAJ";121806;124028;129569;134087;129297;124895;122915;120135;117887;119013;119587;120013;123115;126593;129981
"Koroška";"Spol - SKUPAJ";29581;29667;30351;30887;29606;28189;28057;27978;27044;27088;27048;27014;27666;28234;28529
"Savinjska";"Spol - SKUPAJ";104434;106136;110340;114089;110308;106677;105746;104428;102554;102594;100482;101920;105913;109398;112302
"Zasavska";"Spol - SKUPAJ";17574;17798;18322;18746;17950;17307;16825;16443;15974;15679;22013;22246;23038;23774;24154
"Posavska";"Spol - SKUPAJ";27416;27773;28851;30036;29527;28565;28272;27830;27423;27316;29662;29828;30928;31895;32663
"Jugovzhodna Slovenija";"Spol - SKUPAJ";58190;58787;61136;62882;61184;59813;58976;57671;56672;57094;57571;58415;61069;63352;64633
"Primorsko-notranjska";"Spol - SKUPAJ";21781;22202;23104;23750;23261;22603;22207;21803;21209;21367;21507;21757;22241;22965;23439
"Osrednjeslovenska";"Spol - SKUPAJ";212311;215370;222510;229342;228095;224742;221471;218775;214996;217145;214873;220847;229350;237923;245555
"Gorenjska";"Spol - SKUPAJ";81390;82392;84716;86674;84678;83175;82197;81567;80277;81155;82235;83789;86539;89133;91059
"Goriška";"Spol - SKUPAJ";48838;49379;50828;52185;50214;48377;47305;46345;45083;45173;45571;46335;47839;49283;50122
"Obalno-kraška";"Spol - SKUPAJ";44011;44946;46437;48107;47909;47215;46051;45150;43694;43886;44489;45523;47183;48754;49898
